000001,银行
000002,房地产开发
000004,生物制品
000005,房地产开发
000006,房地产开发
000007,酒店及餐饮
000008,非汽车交运
000009,综合
000010,建筑装饰
000011,房地产开发
000012,建筑材料
000014,房地产开发
000016,视听器材
000017,非汽车交运
000018,建筑装饰
000019,饮料制造
000020,电子制造
000021,计算机设备
000022,港口航运
000023,建筑材料
000025,交运设备服务
000026,家用轻工
000027,电力
000028,医药商业
000029,房地产开发
000030,汽车零部件
000031,房地产开发
000032,通信设备
000034,贸易
000035,环保工程
000036,房地产开发
000037,电力
000038,传媒
000039,通用设备
000040,房地产开发
000042,房地产开发
000043,房地产开发
000045,光学光电子
000046,房地产开发
000048,农产品加工
000049,电子制造
000050,光学光电子
000055,建筑装饰
000056,房地产开发
000058,零售
000059,基础化学
000060,有色冶炼加工
000061,零售
000062,零售
000063,通信设备
000065,建筑装饰
000066,计算机设备
000068,综合
000069,房地产开发
000070,通信设备
000078,生物制品
000088,港口航运
000089,机场航运
000090,房地产开发
000096,基础化学
000099,机场航运
000100,视听器材
000150,医疗器械服务
000151,贸易
000153,化学制药
000155,化学制品
000156,通信服务
000157,专用设备
000158,纺织制造
000159,基础化学
000166,证券
000301,电力
000333,白色家电
000338,汽车零部件
000400,电气设备
000401,建筑材料
000402,房地产开发
000403,生物制品
000404,白色家电
000407,燃气水务
000408,化学制品
000409,综合
000410,通用设备
000411,医药商业
000413,光学光电子
000415,保险及其他
000416,保险及其他
000417,零售
000418,白色家电
000419,零售
000420,化工合成材料
000421,燃气水务
000422,化学制品
000423,中药
000425,专用设备
000426,有色冶炼加工
000428,酒店及餐饮
000429,公路铁路运输
000430,景点及旅游
000488,造纸
000498,建筑装饰
000501,零售
000502,房地产开发
000503,医药商业
000504,传媒
000505,房地产开发
000506,房地产开发
000507,港口航运
000509,建筑材料
000510,基础化学
000513,化学制药
000514,房地产开发
000516,零售
000517,房地产开发
000518,生物制品
000519,新材料
000520,港口航运
000521,白色家电
000523,化学制品
000524,酒店及餐饮
000525,化学制品
000526,传媒
000528,专用设备
000529,综合
000530,通用设备
000531,电力
000532,保险及其他
000533,白色家电
000534,房地产开发
000536,光学光电子
000537,房地产开发
000538,中药
000539,电力
000540,房地产开发
000541,白色家电
000543,电力
000544,燃气水务
000545,基础化学
000546,建筑材料
000547,通信设备
000548,公路铁路运输
000550,汽车整车
000551,专用设备
000552,煤炭开采
000553,化学制品
000554,基础化学
000555,计算机应用
000557,公路铁路运输
000558,房地产开发
000559,汽车零部件
000560,零售
000561,通信设备
000563,保险及其他
000564,零售
000565,化学制品
000566,化学制药
000567,房地产开发
000568,饮料制造
000570,通用设备
000571,煤炭开采
000572,汽车整车
000573,房地产开发
000576,造纸
000581,汽车零部件
000582,港口航运
000584,通用设备
000585,电气设备
000586,通信设备
000587,家用轻工
000589,化工合成材料
000590,中药
000591,电力
000592,种植业与林业
000593,燃气水务
000595,通用设备
000596,饮料制造
000597,化学制药
000598,燃气水务
000599,化工合成材料
000600,电力
000601,电力
000603,有色冶炼加工
000605,燃气水务
000606,中药
000607,传媒
000608,房地产开发
000609,保险及其他
000610,景点及旅游
000611,纺织制造
000612,有色冶炼加工
000613,酒店及餐饮
000615,房地产开发
000616,房地产开发
000617,通用设备
000619,建筑材料
000620,房地产开发
000622,汽车零部件
000623,中药
000625,汽车整车
000626,贸易
000627,保险及其他
000628,综合
000629,石油矿业开采
000630,有色冶炼加工
000631,房地产开发
000632,综合
000633,有色冶炼加工
000635,基础化学
000636,半导体及元件
000637,基础化学
000638,房地产开发
000639,农产品加工
000650,中药
000651,白色家电
000652,综合
000655,石油矿业开采
000656,房地产开发
000657,有色冶炼加工
000659,包装印刷
000661,生物制品
000662,化学制品
000663,家用轻工
000665,通信服务
000666,保险及其他
000667,房地产开发
000668,房地产开发
000669,燃气水务
000670,半导体及元件
000671,房地产开发
000672,建筑材料
000673,传媒
000676,传媒
000677,化工合成材料
000678,汽车零部件
000679,零售
000680,专用设备
000681,传媒
000682,电气设备
000683,基础化学
000685,燃气水务
000686,证券
000687,通信设备
000688,有色冶炼加工
000690,电力
000691,房地产开发
000692,电力
000693,有色冶炼加工
000695,电力
000697,有色冶炼加工
000698,基础化学
000700,汽车零部件
000701,半导体及元件
000702,农产品加工
000703,化工合成材料
000705,医药商业
000707,基础化学
000708,钢铁
000709,钢铁
000710,医疗器械服务
000711,综合
000712,证券
000713,种植业与林业
000715,零售
000716,食品加工制造
000717,钢铁
000718,房地产开发
000719,传媒
000720,电力
000721,酒店及餐饮
000722,电力
000723,煤炭开采
000725,光学光电子
000726,纺织制造
000727,光学光电子
000728,证券
000729,饮料制造
000731,化学制品
000732,房地产开发
000733,半导体及元件
000735,养殖业
000736,房地产开发
000737,化学制品
000738,国防军工
000739,化学制药
000750,证券
000751,有色冶炼加工
000752,饮料制造
000753,交运设备服务
000755,化工新材料
000756,化学制药
000757,汽车零部件
000758,有色冶炼加工
000759,零售
000760,汽车零部件
000761,钢铁
000762,石油矿业开采
000766,中药
000767,电力
000768,国防军工
000776,证券
000777,通用设备
000778,钢铁
000779,纺织制造
000780,煤炭开采
000782,化工合成材料
000783,证券
000785,零售
000786,建筑材料
000788,化学制药
000789,建筑材料
000790,中药
000791,电力
000792,化学制品
000793,传媒
000795,新材料
000796,景点及旅游
000797,房地产开发
000798,养殖业
000799,饮料制造
000800,汽车整车
000801,视听器材
000802,传媒
000803,房地产开发
000806,电气设备
000807,有色冶炼加工
000809,房地产开发
000810,视听器材
000811,通用设备
000812,包装印刷
000813,化学制药
000815,造纸
000816,通用设备
000818,化工新材料
000819,基础化学
000820,环保工程
000821,专用设备
000822,基础化学
000823,半导体及元件
000825,钢铁
000826,环保工程
000828,公路铁路运输
000829,零售
000830,化学制品
000831,有色冶炼加工
000833,造纸
000835,传媒
000836,通信设备
000837,通用设备
000838,房地产开发
000839,综合
000848,饮料制造
000850,纺织制造
000851,通信设备
000852,专用设备
000856,专用设备
000858,饮料制造
000859,化工合成材料
000860,饮料制造
000861,零售
000862,电力
000863,房地产开发
000868,汽车整车
000869,饮料制造
000875,电力
000876,农产品加工
000877,建筑材料
000878,有色冶炼加工
000880,通用设备
000881,化工合成材料
000882,零售
000883,电力
000885,建筑材料
000886,公路铁路运输
000887,汽车零部件
000888,景点及旅游
000889,通信设备
000890,通用设备
000892,传媒
000893,农产品加工
000895,食品加工制造
000897,房地产开发
000898,钢铁
000899,电力
000900,公路铁路运输
000901,仪器仪表
000902,化学制品
000903,汽车零部件
000905,港口航运
000906,贸易
000908,化学制药
000909,计算机设备
000910,家用轻工
000911,农产品加工
000912,化学制品
000913,非汽车交运
000915,化学制药
000916,公路铁路运输
000917,通信服务
000918,房地产开发
000919,医疗器械服务
000920,化学制品
000921,白色家电
000922,电气设备
000923,专用设备
000925,非汽车交运
000926,房地产开发
000927,汽车整车
000928,建筑装饰
000929,饮料制造
000930,农产品加工
000931,化学制药
000932,钢铁
000933,有色冶炼加工
000935,建筑材料
000936,化工合成材料
000937,煤炭开采
000938,计算机设备
000939,电力
000948,计算机设备
000949,化工合成材料
000950,化学制品
000951,汽车整车
000952,化学制药
000953,化学制品
000955,纺织制造
000957,汽车整车
000958,电力
000959,钢铁
000960,有色冶炼加工
000961,房地产开发
000962,新材料
000963,医药商业
000965,房地产开发
000966,电力
000967,电气设备
000968,采掘服务
000969,新材料
000970,新材料
000971,计算机应用
000972,农产品加工
000973,化工合成材料
000975,有色冶炼加工
000976,非汽车交运
000977,计算机设备
000978,景点及旅游
000979,房地产开发
000980,汽车整车
000981,房地产开发
000982,纺织制造
000983,煤炭开采
000985,化学制品
000987,零售
000988,其他电子
000989,中药
000990,化学制药
000993,电力
000995,饮料制造
000996,交运设备服务
000997,计算机设备
000998,种植业与林业
000999,中药
001696,汽车零部件
001896,电力
001979,房地产开发
002001,化学制药
002002,基础化学
002003,纺织制造
002004,化学制品
002005,光学光电子
002006,专用设备
002007,生物制品
002008,其他电子
002009,专用设备
002010,化学制品
002011,白色家电
002012,造纸
002013,国防军工
002014,包装印刷
002015,化工合成材料
002016,房地产开发
002017,通信设备
002018,化学制品
002019,化学制药
002020,化学制药
002021,专用设备
002022,生物制品
002023,国防军工
002024,零售
002025,电子制造
002026,通用设备
002027,传媒
002028,电气设备
002029,服装家纺
002030,生物制品
002031,通用设备
002032,白色家电
002033,景点及旅游
002034,纺织制造
002035,白色家电
002036,光学光电子
002037,化学制品
002038,生物制品
002039,电力
002040,港口航运
002041,种植业与林业
002042,纺织制造
002043,建筑材料
002044,医疗器械服务
002045,电子制造
002046,通用设备
002047,建筑装饰
002048,汽车零部件
002049,半导体及元件
002050,白色家电
002051,建筑装饰
002052,视听器材
002053,食品加工制造
002054,化学制品
002055,电子制造
002056,其他电子
002057,新材料
002058,电气设备
002059,景点及旅游
002060,建筑装饰
002061,化工新材料
002062,建筑装饰
002063,计算机应用
002064,化工合成材料
002065,计算机应用
002066,建筑材料
002067,造纸
002068,化工合成材料
002069,养殖业
002070,纺织制造
002071,传媒
002072,通信服务
002073,专用设备
002074,电气设备
002075,钢铁
002076,其他电子
002077,园区开发
002078,造纸
002079,半导体及元件
002080,化工新材料
002081,建筑装饰
002082,建筑材料
002083,纺织制造
002084,家用轻工
002085,汽车零部件
002086,养殖业
002087,纺织制造
002088,建筑材料
002089,通信设备
002090,电气设备
002091,贸易
002092,基础化学
002093,通信设备
002094,家用轻工
002095,通信服务
002096,化学制品
002097,专用设备
002098,纺织制造
002099,化学制药
002100,农产品加工
002101,汽车零部件
002102,化学制药
002103,包装印刷
002104,通信设备
002105,非汽车交运
002106,光学光电子
002107,中药
002108,化工合成材料
002109,化学制品
002110,钢铁
002111,专用设备
002112,电气设备
002113,通信服务
002114,有色冶炼加工
002115,通信设备
002116,建筑装饰
002117,包装印刷
002118,中药
002119,半导体及元件
002120,物流
002121,电气设备
002122,通用设备
002123,传媒
002124,农产品加工
002125,基础化学
002126,汽车零部件
002127,通信服务
002128,煤炭开采
002129,半导体及元件
002130,新材料
002131,传媒
002132,通用设备
002133,房地产开发
002134,半导体及元件
002135,建筑装饰
002136,化学制品
002137,光学光电子
002138,半导体及元件
002139,电子制造
002140,建筑装饰
002141,其他电子
002142,银行
002143,传媒
002144,纺织制造
002145,化学制品
002146,房地产开发
002147,房地产开发
002148,传媒
002149,新材料
002150,通用设备
002151,国防军工
002152,计算机设备
002153,计算机应用
002154,服装家纺
002155,有色冶炼加工
002156,半导体及元件
002157,农产品加工
002158,通用设备
002159,景点及旅游
002160,有色冶炼加工
002161,其他电子
002162,建筑材料
002163,建筑材料
002164,通用设备
002165,化工新材料
002166,中药
002167,有色冶炼加工
002168,电气设备
002169,电气设备
002170,化学制品
002171,有色冶炼加工
002172,化工合成材料
002173,养殖业
002174,传媒
002175,传媒
002176,电气设备
002177,计算机设备
002178,建筑装饰
002179,电子制造
002180,半导体及元件
002181,传媒
002183,物流
002184,电气设备
002185,半导体及元件
002186,酒店及餐饮
002187,零售
002188,电子制造
002189,光学光电子
002190,电气设备
002191,包装印刷
002192,电气设备
002193,纺织制造
002194,通信设备
002195,计算机应用
002196,电气设备
002197,计算机设备
002198,中药
002199,半导体及元件
002200,建筑装饰
002201,化工新材料
002202,电气设备
002203,有色冶炼加工
002204,专用设备
002205,建筑材料
002206,化工合成材料
002207,采掘服务
002208,房地产开发
002209,专用设备
002210,物流
002211,化学制品
002212,电气设备
002213,汽车零部件
002214,其他电子
002215,化学制品
002216,食品加工制造
002217,光学光电子
002218,电气设备
002219,医疗器械服务
002220,农产品加工
002221,基础化学
002222,半导体及元件
002223,医疗器械服务
002224,化工合成材料
002225,建筑材料
002226,化学制品
002227,电气设备
002228,包装印刷
002229,包装印刷
002230,计算机应用
002231,通信设备
002232,计算机应用
002233,建筑材料
002234,养殖业
002235,造纸
002236,计算机设备
002237,有色冶炼加工
002238,通信服务
002239,汽车零部件
002240,家用轻工
002241,电子制造
002242,白色家电
002243,包装印刷
002244,房地产开发
002245,物流
002246,化工新材料
002247,家用轻工
002248,通用设备
002249,电气设备
002250,化学制品
002251,零售
002252,生物制品
002253,计算机应用
002254,化工合成材料
002255,电气设备
002256,化学制品
002258,化学制品
002259,家用轻工
002260,白色家电
002261,传媒
002262,化学制药
002263,化工合成材料
002264,零售
002265,汽车零部件
002266,电气设备
002267,燃气水务
002268,计算机应用
002269,服装家纺
002270,通用设备
002271,建筑材料
002272,通用设备
002273,光学光电子
002274,化学制品
002275,中药
002276,电气设备
002277,零售
002278,专用设备
002279,计算机应用
002280,计算机应用
002281,通信设备
002282,通用设备
002283,汽车零部件
002284,汽车零部件
002285,房地产开发
002286,农产品加工
002287,中药
002288,半导体及元件
002289,光学光电子
002290,白色家电
002291,服装家纺
002292,传媒
002293,服装家纺
002294,化学制药
002295,有色冶炼加工
002296,计算机应用
002297,国防军工
002298,计算机应用
002299,养殖业
002300,电气设备
002301,家用轻工
002302,建筑材料
002303,包装印刷
002304,饮料制造
002305,房地产开发
002306,酒店及餐饮
002307,建筑装饰
002308,计算机设备
002309,电气设备
002310,建筑装饰
002311,农产品加工
002312,计算机设备
002313,通信设备
002314,房地产开发
002315,通信服务
002316,通信设备
002317,中药
002318,钢铁
002319,化学制品
002320,港口航运
002321,养殖业
002322,电气设备
002323,建筑装饰
002324,化工合成材料
002325,建筑装饰
002326,化学制品
002327,服装家纺
002328,汽车零部件
002329,食品加工制造
002330,食品加工制造
002331,计算机应用
002332,化学制药
002333,建筑材料
002334,电气设备
002335,电气设备
002336,零售
002337,专用设备
002338,仪器仪表
002339,电气设备
002340,新材料
002341,化学制品
002342,通用设备
002343,传媒
002344,零售
002345,家用轻工
002346,电气设备
002347,通用设备
002348,家用轻工
002349,中药
002350,电气设备
002351,电子制造
002352,物流
002353,专用设备
002354,传媒
002355,汽车零部件
002356,电气设备
002357,公交
002358,电气设备
002359,通信服务
002360,化学制品
002361,化学制品
002362,计算机应用
002363,汽车零部件
002364,电气设备
002365,化学制药
002366,电气设备
002367,专用设备
002368,计算机应用
002369,电子制造
002370,化学制药
002371,半导体及元件
002372,建筑材料
002373,计算机应用
002374,包装印刷
002375,建筑装饰
002376,计算机设备
002377,基础化学
002378,有色冶炼加工
002379,有色冶炼加工
002380,计算机应用
002381,化工合成材料
002382,化工合成材料
002383,计算机设备
002384,电子制造
002385,农产品加工
002386,基础化学
002387,饮料制造
002388,其他电子
002389,半导体及元件
002390,医疗器械服务
002391,化学制品
002392,建筑材料
002393,化学制药
002394,纺织制造
002395,化工合成材料
002396,通信设备
002397,服装家纺
002398,建筑材料
002399,化学制药
002400,传媒
002401,计算机应用
002402,电子制造
002403,白色家电
002404,纺织制造
002405,计算机应用
002406,汽车零部件
002407,化学制品
002408,化工新材料
002409,化学制品
002410,计算机应用
002411,中药
002412,中药
002413,国防军工
002414,其他电子
002415,计算机设备
002416,零售
002417,通信设备
002418,白色家电
002419,零售
002420,视听器材
002421,计算机应用
002422,化学制药
002423,通用设备
002424,中药
002425,服装家纺
002426,通用设备
002427,化工合成材料
002428,有色冶炼加工
002429,视听器材
002430,专用设备
002431,建筑装饰
002432,医疗器械服务
002433,中药
002434,汽车零部件
002435,专用设备
002436,半导体及元件
002437,化学制药
002438,通用设备
002439,计算机应用
002440,化学制品
002441,电气设备
002442,化工合成材料
002443,钢铁
002444,通用设备
002445,传媒
002446,通信设备
002447,养殖业
002448,汽车零部件
002449,光学光电子
002450,化工合成材料
002451,电气设备
002452,电气设备
002453,化学制品
002454,汽车零部件
002455,化学制品
002456,光学光电子
002457,建筑材料
002458,养殖业
002459,专用设备
002460,有色冶炼加工
002461,饮料制造
002462,医药商业
002463,半导体及元件
002464,通信服务
002465,通信设备
002466,有色冶炼加工
002467,通信服务
002468,物流
002469,建筑装饰
002470,化学制品
002471,电气设备
002472,汽车零部件
002473,白色家电
002474,计算机应用
002475,电子制造
002476,化学制品
002477,养殖业
002478,钢铁
002479,环保工程
002480,通用设备
002481,食品加工制造
002482,建筑装饰
002483,专用设备
002484,半导体及元件
002485,服装家纺
002486,服装家纺
002487,通用设备
002488,汽车零部件
002489,家用轻工
002490,专用设备
002491,通信设备
002492,物流
002493,化工合成材料
002494,服装家纺
002495,食品加工制造
002496,化学制品
002497,化学制品
002498,电气设备
002499,专用设备
002500,证券
002501,有色冶炼加工
002502,传媒
002503,服装家纺
002504,建筑装饰
002505,养殖业
002506,电气设备
002507,食品加工制造
002508,白色家电
002509,专用设备
002510,通用设备
002511,造纸
002512,计算机应用
002513,化学制品
002514,通用设备
002515,食品加工制造
002516,纺织制造
002517,传媒
002518,电气设备
002519,视听器材
002520,通用设备
002521,造纸
002522,包装印刷
002523,专用设备
002524,燃气水务
002526,专用设备
002527,电气设备
002528,计算机设备
002529,专用设备
002530,通用设备
002531,电气设备
002532,通用设备
002533,电气设备
002534,电气设备
002535,专用设备
002536,汽车零部件
002537,通用设备
002538,化学制品
002539,化学制品
002540,有色冶炼加工
002541,建筑装饰
002542,建筑装饰
002543,白色家电
002544,通信设备
002545,建筑装饰
002546,电气设备
002547,电子制造
002548,农产品加工
002549,化学制品
002550,化学制药
002551,医疗器械服务
002552,通用设备
002553,汽车零部件
002554,采掘服务
002555,传媒
002556,化学制品
002557,食品加工制造
002558,传媒
002559,通用设备
002560,电气设备
002561,零售
002562,化学制品
002563,服装家纺
002564,专用设备
002565,包装印刷
002566,中药
002567,农产品加工
002568,食品加工制造
002569,服装家纺
002570,食品加工制造
002571,家用轻工
002572,家用轻工
002573,环保工程
002574,家用轻工
002575,家用轻工
002576,电气设备
002577,计算机设备
002578,有色冶炼加工
002579,半导体及元件
002580,电气设备
002581,生物制品
002582,食品加工制造
002583,通信设备
002584,化学制品
002585,包装印刷
002586,建筑装饰
002587,光学光电子
002588,化学制品
002589,医药商业
002590,汽车零部件
002591,化学制品
002592,汽车零部件
002593,汽车零部件
002594,汽车整车
002595,通用设备
002596,建筑材料
002597,化学制品
002598,通用设备
002599,包装印刷
002600,新材料
002601,化学制品
002602,通信服务
002603,中药
002604,农产品加工
002605,家用轻工
002606,电气设备
002607,交运设备服务
002608,国防军工
002609,计算机应用
002610,电气设备
002611,专用设备
002612,服装家纺
002613,专用设备
002614,医疗器械服务
002615,家用轻工
002616,白色家电
002617,电气设备
002618,半导体及元件
002619,传媒
002620,建筑装饰
002621,专用设备
002622,电气设备
002623,建筑材料
002624,传媒
002625,新材料
002626,化学制药
002627,公交
002628,建筑装饰
002629,采掘服务
002630,电气设备
002631,家用轻工
002632,化学制品
002633,通用设备
002634,服装家纺
002635,电子制造
002636,半导体及元件
002637,化学制品
002638,光学光电子
002639,通用设备
002640,传媒
002641,建筑材料
002642,计算机应用
002643,化学制品
002644,中药
002645,专用设备
002646,饮料制造
002647,通用设备
002648,基础化学
002649,计算机应用
002650,食品加工制造
002651,专用设备
002652,建筑材料
002653,化学制药
002654,光学光电子
002655,电子制造
002656,服装家纺
002657,计算机应用
002658,仪器仪表
002659,建筑装饰
002660,电子制造
002661,食品加工制造
002662,汽车零部件
